code_geo,annee,taux_faible_diplome
59001,2022,57.86
59002,2022,48.22
59003,2022,44.65
59004,2022,62.86
59005,2022,56.85
59006,2022,58.39
59007,2022,45.5
59008,2022,47.0
59009,2022,68.9
59010,2022,53.91
59011,2022,57.61
59012,2022,53.16
59013,2022,65.11
59014,2022,55.19
59015,2022,53.03
59016,2022,51.28
59017,2022,57.84
59018,2022,55.88
59019,2022,61.23
59021,2022,49.66
59022,2022,63.54
59023,2022,50.27
59024,2022,51.75
59025,2022,66.75
59026,2022,46.71
59027,2022,59.25
59028,2022,50.78
59029,2022,64.12
59031,2022,53.17
59032,2022,53.4
59033,2022,50.02
59034,2022,67.07
59035,2022,57.18
59036,2022,57.05
59037,2022,52.92
59038,2022,50.66
59039,2022,61.23
59041,2022,44.74
59042,2022,61.41
59043,2022,59.02
59044,2022,65.98
59045,2022,52.1
59046,2022,52.22
59047,2022,51.36
59048,2022,52.33
59049,2022,49.49
59050,2022,48.32
59051,2022,57.01
59052,2022,53.08
59053,2022,55.55
59054,2022,52.3
59055,2022,54.44
59056,2022,70.87
59057,2022,53.0
59058,2022,51.32
59059,2022,47.89
59060,2022,52.53
59061,2022,53.99
59062,2022,54.31
59063,2022,50.19
59064,2022,50.56
59065,2022,49.92
59066,2022,43.44
59067,2022,60.89
59068,2022,49.78
59069,2022,55.67
59071,2022,62.23
59072,2022,45.13
59073,2022,53.27
59074,2022,51.06
59075,2022,48.28
59076,2022,40.82
59077,2022,60.44
59078,2022,53.07
59079,2022,52.24
59080,2022,60.14
59081,2022,55.1
59082,2022,49.57
59083,2022,61.9
59084,2022,54.66
59085,2022,52.27
59086,2022,58.2
59087,2022,49.06
59088,2022,64.34
59089,2022,54.54
59090,2022,75.29
59091,2022,50.17
59092,2022,50.74
59093,2022,46.22
59094,2022,51.93
59096,2022,67.28
59097,2022,43.6
59098,2022,56.73
59099,2022,56.06
59100,2022,63.83
59101,2022,46.97
59102,2022,48.79
59103,2022,48.34
59104,2022,48.23
59105,2022,61.17
59106,2022,70.66
59107,2022,52.5
59108,2022,53.0
59109,2022,61.17
59110,2022,52.65
59111,2022,46.65
59112,2022,52.74
59113,2022,47.58
59114,2022,59.0
59115,2022,52.22
59116,2022,65.44
59117,2022,50.47
59118,2022,48.39
59119,2022,54.59
59120,2022,56.92
59121,2022,56.29
59122,2022,57.57
59123,2022,61.4
59124,2022,68.33
59125,2022,53.65
59126,2022,51.23
59127,2022,59.22
59128,2022,66.86
59129,2022,64.91
59130,2022,49.65
59131,2022,50.23
59132,2022,49.68
59133,2022,64.62
59134,2022,49.72
59135,2022,58.24
59136,2022,56.12
59137,2022,47.91
59138,2022,56.99
59139,2022,55.13
59140,2022,49.3
59141,2022,50.82
59142,2022,48.61
59143,2022,59.91
59144,2022,56.57
59145,2022,62.48
59146,2022,67.79
59147,2022,60.47
59148,2022,53.14
59149,2022,51.48
59150,2022,68.08
59151,2022,48.86
59152,2022,56.71
59153,2022,55.79
59155,2022,53.22
59156,2022,54.71
59157,2022,48.68
59158,2022,61.87
59159,2022,53.52
59160,2022,47.96
59161,2022,50.49
59162,2022,53.05
59163,2022,67.06
59164,2022,55.07
59165,2022,53.94
59166,2022,59.68
59167,2022,47.18
59168,2022,65.92
59169,2022,49.7
59170,2022,53.4
59171,2022,50.0
59172,2022,54.13
59173,2022,56.84
59174,2022,52.59
59175,2022,49.57
59176,2022,54.5
59177,2022,51.65
59178,2022,58.41
59179,2022,51.01
59180,2022,57.86
59181,2022,55.59
59182,2022,49.22
59183,2022,56.61
59184,2022,52.34
59185,2022,50.32
59186,2022,47.37
59187,2022,52.09
59188,2022,37.0
59189,2022,58.97
59190,2022,51.89
59191,2022,50.95
59192,2022,49.31
59193,2022,62.75
59194,2022,56.0
59195,2022,63.25
59196,2022,65.2
59197,2022,64.94
59198,2022,56.6
59199,2022,52.25
59200,2022,53.39
59201,2022,63.7
59202,2022,55.07
59203,2022,50.52
59204,2022,53.41
59205,2022,52.12
59206,2022,54.55
59207,2022,50.45
59208,2022,79.12
59209,2022,51.77
59210,2022,53.14
59211,2022,57.99
